Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s)
12629.00,0.00,0.00,0.13,0.00,0.00,14.38,0.00,0.00,2379.89,0.00,-0.00,0.00,0.00,-0.00,0.00
12634.00,0.00,0.00,0.03,0.00,0.00,-19.55,0.00,0.00,-6786.03,0.00,-0.00,0.00,0.00,-0.00,0.00
12642.00,0.00,0.00,0.05,0.00,0.00,3.19,0.00,0.00,2842.57,0.00,-0.00,0.00,0.00,-0.00,0.00
12650.00,0.00,0.00,-0.01,0.00,0.00,-7.48,0.00,0.00,-1333.24,0.00,-0.00,0.00,0.00,-0.00,0.00
12666.00,0.00,0.00,0.02,0.00,0.00,1.61,0.00,0.00,568.02,0.00,-0.00,0.00,0.00,-0.00,0.00
12671.00,0.00,0.00,0.12,0.00,0.00,20.53,0.00,0.00,3784.13,0.00,-0.00,0.00,0.00,-0.00,0.00
12677.00,0.00,0.00,0.02,0.00,0.00,-17.22,0.00,0.00,-6292.14,0.00,-0.00,0.00,0.00,-0.00,-0.00
12688.00,0.00,0.00,-0.02,0.00,0.00,-3.09,0.00,0.00,1284.62,0.00,-0.00,0.00,0.00,0.00,-0.00
12695.00,0.00,0.00,0.10,0.00,0.00,16.81,0.00,0.00,2842.75,0.00,-0.00,0.00,0.00,0.00,-0.00
12702.00,0.00,0.00,0.12,0.00,0.00,2.13,0.00,0.00,-2097.47,0.00,-0.00,0.00,0.00,0.00,0.00
12708.00,0.00,0.00,0.05,0.00,0.00,-10.72,0.00,0.00,-2141.15,0.00,-0.00,0.00,0.00,-0.00,0.00
12713.00,0.00,0.00,0.11,0.00,0.00,11.18,0.00,0.00,4379.86,0.00,-0.00,0.00,0.00,-0.00,0.00
12722.00,0.00,0.00,0.09,0.00,0.00,-2.62,0.00,0.00,-1532.85,0.00,-0.00,0.00,0.00,-0.00,0.00
12730.00,0.00,0.00,0.04,0.00,0.00,-6.16,0.00,0.00,-443.02,0.00,-0.00,0.00,0.00,-0.00,0.00
12735.00,0.00,0.00,0.06,0.00,0.00,4.80,0.00,0.00,2192.81,0.00,-0.00,0.00,0.00,0.00,-0.00
12742.00,0.00,0.00,-0.01,0.00,0.00,-9.48,0.00,0.00,-2040.38,0.00,-0.00,0.00,0.00,0.00,-0.00
12760.00,0.00,0.00,0.05,0.00,0.00,2.92,0.00,0.00,688.56,0.00,-0.00,0.00,-0.00,-0.00,0.00
12776.00,0.00,0.00,0.15,0.00,0.00,6.48,0.00,0.00,222.82,0.00,-0.00,0.00,0.00,-0.00,0.00
12784.00,0.00,0.00,0.04,0.00,0.00,-13.32,0.00,0.00,-2475.01,0.00,-0.00,0.00,0.00,0.00,0.00
12792.00,0.00,0.00,0.03,0.00,0.00,-1.43,0.00,0.00,1486.17,0.00,-0.00,0.00,0.00,-0.00,-0.00
12799.00,0.00,0.00,0.06,0.00,0.00,3.73,0.00,0.00,737.90,0.00,-0.00,0.00,-0.00,0.00,0.00
12805.00,0.00,0.00,0.08,0.00,0.00,4.20,0.00,0.00,77.11,0.00,-0.00,0.00,-0.00,0.00,0.00
12812.00,0.00,0.00,0.13,0.00,0.00,7.10,0.00,0.00,415.29,0.00,-0.00,0.00,-0.00,0.00,0.00
12820.00,0.00,0.00,0.03,0.00,0.00,-12.52,0.00,0.00,-2452.73,0.00,-0.00,0.00,0.00,-0.00,0.00
12826.00,0.00,0.00,0.04,0.00,0.00,0.40,0.00,0.00,2152.48,0.00,-0.00,0.00,0.00,0.00,0.00
12833.00,0.00,0.00,0.01,0.00,0.00,-2.91,0.00,0.00,-472.19,0.00,-0.00,0.00,0.00,0.00,0.00
